PROSPECTID,t,timestamp,action_type,payload
865,10,2023-10-28,ENQUIRY,"{""product"": ""HL""}"
865,11,2023-11-27,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5638404860900146}"
865,11,2023-11-27,ENQUIRY,"{""product"": ""HL""}"
865,12,2023-12-27,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4130291618764728}"
865,12,2023-12-27,ENQUIRY,"{""product"": ""PL""}"
865,13,2024-01-26,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.6685978552296417}"
865,13,2024-01-26,ENQUIRY,"{""product"": ""GL""}"
865,14,2024-02-25,ENQUIRY,"{""product"": ""CC""}"
865,18,2024-06-24,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.6539577599371008}"
865,18,2024-06-24,ENQUIRY,"{""product"": ""HL""}"
865,19,2024-07-24,ENQUIRY,"{""product"": ""HL""}"
865,22,2024-10-22,MISC_CLEAR,{}
922,0,2023-01-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9172373925530344}"
922,0,2023-01-01,ENQUIRY,"{""product"": ""HL""}"
922,0,2023-01-01,MISC_CLEAR,{}
922,4,2023-05-01,ENQUIRY,"{""product"": ""CC""}"
922,5,2023-05-31,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.4201483599835395}"
922,6,2023-06-30,ENQUIRY,"{""product"": ""HL""}"
922,7,2023-07-30,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.9738227518238891}"
922,8,2023-08-29,NEW_ACCOUNT,"{""product"": ""CC""}"
922,9,2023-09-28,ENQUIRY,"{""product"": ""HL""}"
922,9,2023-09-28,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.1723492176022252}"
922,10,2023-10-28,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
922,11,2023-11-27,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.08531825831884338}"
922,15,2024-03-26,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9274960567277137}"
922,17,2024-05-25,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9040641313551516}"
922,17,2024-05-25,ENQUIRY,"{""product"": ""CC""}"
922,18,2024-06-24,ENQUIRY,"{""product"": ""PL""}"
922,19,2024-07-24,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.6788965233133476}"
922,19,2024-07-24,MISC_CLEAR,{}
922,21,2024-09-22,ENQUIRY,"{""product"": ""CC""}"
1033,1,2023-01-31,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.6614032762688746}"
1033,1,2023-01-31,ENQUIRY,"{""product"": ""CC""}"
1033,1,2023-01-31,MISC_CLEAR,{}
1033,4,2023-05-01,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.3886995446750513}"
1033,4,2023-05-01,ENQUIRY,"{""product"": ""CC""}"
1033,6,2023-06-30,NEW_ACCOUNT,"{""product"": ""CC""}"
1033,7,2023-07-30,ENQUIRY,"{""product"": ""PL""}"
1033,8,2023-08-29,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.1286376778416601}"
1033,9,2023-09-28,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.19222041436474663}"
1033,11,2023-11-27,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.8951779712406716}"
1033,12,2023-12-27,NEW_ACCOUNT,"{""product"": ""PL""}"
1033,13,2024-01-26,ENQUIRY,"{""product"": ""CC""}"
1033,13,2024-01-26,NEW_ACCOUNT,"{""product"": ""CC""}"
1033,15,2024-03-26,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1033,16,2024-04-25,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.3691847988585233}"
1033,16,2024-04-25,ENQUIRY,"{""product"": ""PL""}"
1033,18,2024-06-24,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.17096565096135996}"
1033,19,2024-07-24,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.6953454343565394}"
1033,20,2024-08-23,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.3063241433289608}"
1033,20,2024-08-23,ENQUIRY,"{""product"": ""CC""}"
1033,21,2024-09-22,ENQUIRY,"{""product"": ""PL""}"
1033,22,2024-10-22,ENQUIRY,"{""product"": ""CC""}"
1131,1,2023-01-31,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.13646684640106393}"
1131,2,2023-03-02,ENQUIRY,"{""product"": ""CC""}"
1131,3,2023-04-01,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.14418915237117635}"
1131,4,2023-05-01,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.9150685707203638}"
1131,4,2023-05-01,ENQUIRY,"{""product"": ""PL""}"
1131,4,2023-05-01,MISC_CLEAR,{}
1131,5,2023-05-31,ENQUIRY,"{""product"": ""HL""}"
1131,6,2023-06-30,ENQUIRY,"{""product"": ""CC""}"
1131,7,2023-07-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.453823583899192}"
1131,8,2023-08-29,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1131,9,2023-09-28,ENQUIRY,"{""product"": ""CC""}"
1131,9,2023-09-28,NEW_ACCOUNT,"{""product"": ""CC""}"
1131,10,2023-10-28,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.4468456841119266}"
1131,10,2023-10-28,MISC_CLEAR,{}
1131,12,2023-12-27,ENQUIRY,"{""product"": ""CC""}"
1131,12,2023-12-27,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.12803564108337417}"
1131,16,2024-04-25,ENQUIRY,"{""product"": ""CC""}"
1131,16,2024-04-25,NEW_ACCOUNT,"{""product"": ""PL""}"
1131,16,2024-04-25,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.05896924140558728}"
1131,17,2024-05-25,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.5416054521778924}"
1131,17,2024-05-25,ENQUIRY,"{""product"": ""CC""}"
1131,18,2024-06-24,ENQUIRY,"{""product"": ""GL""}"
1131,19,2024-07-24,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.31290205549312095}"
1131,22,2024-10-22,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.48718976172704026}"
1261,1,2023-01-31,ENQUIRY,"{""product"": ""CC""}"
1261,2,2023-03-02,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.3445982441583732}"
1261,3,2023-04-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.39045858091205565}"
1261,3,2023-04-01,ENQUIRY,"{""product"": ""CC""}"
1261,3,2023-04-01,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.11949415377115057}"
1261,4,2023-05-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.7286295524271317}"
1261,5,2023-05-31,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1261,6,2023-06-30,ENQUIRY,"{""product"": ""HL""}"
1261,7,2023-07-30,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.11514680048568107}"
1261,10,2023-10-28,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5775124922601003}"
1261,11,2023-11-27,NEW_ACCOUNT,"{""product"": ""CC""}"
1261,11,2023-11-27,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.06802215545495519}"
1261,13,2024-01-26,ENQUIRY,"{""product"": ""PL""}"
1261,14,2024-02-25,NEW_ACCOUNT,"{""product"": ""PL""}"
1261,17,2024-05-25,ENQUIRY,"{""product"": ""CC""}"
1261,18,2024-06-24,ENQUIRY,"{""product"": ""HL""}"
1261,21,2024-09-22,NEW_ACCOUNT,"{""product"": ""CC""}"
1261,22,2024-10-22,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9868536505550332}"
1382,1,2023-01-31,ENQUIRY,"{""product"": ""PL""}"
1382,2,2023-03-02,ENQUIRY,"{""product"": ""PL""}"
1382,3,2023-04-01,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.6109548561917731}"
1382,5,2023-05-31,ENQUIRY,"{""product"": ""CC""}"
1382,5,2023-05-31,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.1256421483684256}"
1382,6,2023-06-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.30983630793367223}"
1382,7,2023-07-30,MISC_CLEAR,{}
1382,8,2023-08-29,ENQUIRY,"{""product"": ""CC""}"
1382,9,2023-09-28,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.09735392331742479}"
1382,11,2023-11-27,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5720874771246559}"
1382,11,2023-11-27,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.05324895881676207}"
1382,12,2023-12-27,ENQUIRY,"{""product"": ""PL""}"
1382,12,2023-12-27,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.15887841580324083}"
1382,14,2024-02-25,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.8159847744091195}"
1382,14,2024-02-25,ENQUIRY,"{""product"": ""CC""}"
1382,15,2024-03-26,NEW_ACCOUNT,"{""product"": ""CC""}"
1382,16,2024-04-25,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.1531452382603832}"
1382,17,2024-05-25,MISC_CLEAR,{}
1382,18,2024-06-24,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1382,18,2024-06-24,NEW_ACCOUNT,"{""product"": ""PL""}"
1382,19,2024-07-24,NEW_ACCOUNT,"{""product"": ""PL""}"
1382,20,2024-08-23,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.33289197581982594}"
1382,20,2024-08-23,ENQUIRY,"{""product"": ""PL""}"
1382,21,2024-09-22,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4604642765982395}"
1382,21,2024-09-22,ENQUIRY,"{""product"": ""CC""}"
1382,21,2024-09-22,NEW_ACCOUNT,"{""product"": ""PL""}"
1382,22,2024-10-22,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.8296221525716241}"
1468,0,2023-01-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.8147013021212326}"
1468,0,2023-01-01,ENQUIRY,"{""product"": ""HL""}"
1468,1,2023-01-31,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1468,2,2023-03-02,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4689935432786711}"
1468,2,2023-03-02,ENQUIRY,"{""product"": ""CC""}"
1468,2,2023-03-02,LIMIT_CHANGE,"{""product"": ""PL"", ""delta"": 0.11322871617354133}"
1468,3,2023-04-01,ENQUIRY,"{""product"": ""HL""}"
1468,3,2023-04-01,SPEND,"{""product"": ""CC"", ""intensity"": ""med""}"
1468,4,2023-05-01,SPEND,"{""product"": ""CC"", ""intensity"": ""low""}"
1468,5,2023-05-31,LIMIT_CHANGE,"{""product"": ""CC"", ""delta"": 0.1027796541316104}"
1468,6,2023-06-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.7062361791678962}"
1468,6,2023-06-30,SPEND,"{""product"": ""CC"", ""intensity"": ""low""}"
1468,7,2023-07-30,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.304419708572877}"
1468,7,2023-07-30,SPEND,"{""product"": ""CC"", ""intensity"": ""med""}"
1468,7,2023-07-30,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.1159852352190447}"
1468,7,2023-07-30,MISC_CLEAR,{}
1468,8,2023-08-29,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1468,8,2023-08-29,SPEND,"{""product"": ""PL"", ""intensity"": ""low""}"
1468,8,2023-08-29,NEW_ACCOUNT,"{""product"": ""CC""}"
1468,8,2023-08-29,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.16098612881578833}"
1468,8,2023-08-29,MISC_CLEAR,{}
1468,9,2023-09-28,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.8035742505278596}"
1468,9,2023-09-28,ENQUIRY,"{""product"": ""PL""}"
1468,9,2023-09-28,MISC_CLEAR,{}
1468,10,2023-10-28,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.5234887581896388}"
1468,11,2023-11-27,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5996617201625944}"
1468,11,2023-11-27,SPEND,"{""product"": ""PL"", ""intensity"": ""low""}"
1468,12,2023-12-27,ENQUIRY,"{""product"": ""CC""}"
1468,12,2023-12-27,SPEND,"{""product"": ""CC"", ""intensity"": ""low""}"
1468,13,2024-01-26,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.6647796178778854}"
1468,13,2024-01-26,ENQUIRY,"{""product"": ""PL""}"
1468,13,2024-01-26,SPEND,"{""product"": ""CC"", ""intensity"": ""high""}"
1468,13,2024-01-26,MISC_CLEAR,{}
1468,14,2024-02-25,SPEND,"{""product"": ""PL"", ""intensity"": ""high""}"
1468,15,2024-03-26,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1468,16,2024-04-25,SPEND,"{""product"": ""CC"", ""intensity"": ""low""}"
1468,16,2024-04-25,MISC_CLEAR,{}
1468,17,2024-05-25,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.7714575988945058}"
1468,17,2024-05-25,ENQUIRY,"{""product"": ""PL""}"
1468,18,2024-06-24,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.5235533452784507}"
1468,18,2024-06-24,ENQUIRY,"{""product"": ""PL""}"
1468,18,2024-06-24,LIMIT_CHANGE,"{""product"": ""CC"", ""delta"": -0.035266697291738175}"
1468,18,2024-06-24,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.17644462809820716}"
1468,20,2024-08-23,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4664815337426017}"
1468,20,2024-08-23,ENQUIRY,"{""product"": ""PL""}"
1468,20,2024-08-23,MISC_CLEAR,{}
1468,21,2024-09-22,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.9708379320441283}"
1468,21,2024-09-22,MISC_CLEAR,{}
1468,22,2024-10-22,ENQUIRY,"{""product"": ""CC""}"
1468,22,2024-10-22,SPEND,"{""product"": ""CC"", ""intensity"": ""med""}"
1695,0,2023-01-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.8285903272271615}"
1695,2,2023-03-02,ENQUIRY,"{""product"": ""CC""}"
1695,3,2023-04-01,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.4084199326474782}"
1695,4,2023-05-01,ENQUIRY,"{""product"": ""GL""}"
1695,5,2023-05-31,NEW_ACCOUNT,"{""product"": ""CC""}"
1695,6,2023-06-30,ENQUIRY,"{""product"": ""CC""}"
1695,7,2023-07-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4956439674514915}"
1695,7,2023-07-30,ENQUIRY,"{""product"": ""CC""}"
1695,9,2023-09-28,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.6542093898189034}"
1695,9,2023-09-28,ENQUIRY,"{""product"": ""PL""}"
1695,10,2023-10-28,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5327558222911626}"
1695,10,2023-10-28,ENQUIRY,"{""product"": ""CC""}"
1695,12,2023-12-27,ENQUIRY,"{""product"": ""HL""}"
1695,16,2024-04-25,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.4159951224279407}"
1695,16,2024-04-25,ENQUIRY,"{""product"": ""HL""}"
1695,17,2024-05-25,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.6632803883571117}"
1695,18,2024-06-24,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.7568454541512972}"
1695,19,2024-07-24,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.9414051420335703}"
1695,20,2024-08-23,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.629768209550228}"
1695,21,2024-09-22,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.06608949750752184}"
1695,22,2024-10-22,NEW_ACCOUNT,"{""product"": ""PL""}"
1745,0,2023-01-01,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
1745,1,2023-01-31,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9272693019561391}"
1745,1,2023-01-31,ENQUIRY,"{""product"": ""PL""}"
1745,2,2023-03-02,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.3481885571593027}"
1745,2,2023-03-02,ENQUIRY,"{""product"": ""HL""}"
1745,3,2023-04-01,SPEND,"{""product"": ""CC"", ""intensity"": ""low""}"
1745,4,2023-05-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5485893177369007}"
1745,4,2023-05-01,SPEND,"{""product"": ""PL"", ""intensity"": ""med""}"
1745,5,2023-05-31,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.7893549009052294}"
1745,5,2023-05-31,ENQUIRY,"{""product"": ""CC""}"
1745,6,2023-06-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.3966033019838343}"
1745,6,2023-06-30,INCOME_UPDATE,"{""direction"": ""down"", ""pct"": 0.1390366668425833}"
1745,7,2023-07-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.9137315299347086}"
1745,8,2023-08-29,ENQUIRY,"{""product"": ""CC""}"
1745,8,2023-08-29,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.06411492110317336}"
1745,8,2023-08-29,MISC_CLEAR,{}
1745,10,2023-10-28,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.5659384054754222}"
1745,10,2023-10-28,ENQUIRY,"{""product"": ""PL""}"
1745,10,2023-10-28,NEW_ACCOUNT,"{""product"": ""CC""}"
1745,11,2023-11-27,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.5362752269633506}"
1745,11,2023-11-27,ENQUIRY,"{""product"": ""PL""}"
1745,11,2023-11-27,SPEND,"{""product"": ""CC"", ""intensity"": ""med""}"
1745,12,2023-12-27,ENQUIRY,"{""product"": ""PL""}"
1745,12,2023-12-27,INCOME_UPDATE,"{""direction"": ""up"", ""pct"": 0.06809677516657711}"
1745,14,2024-02-25,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.8278312089487421}"
1745,14,2024-02-25,LIMIT_CHANGE,"{""product"": ""CC"", ""delta"": 0.20445009080339763}"
1745,15,2024-03-26,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5023295212326004}"
1745,15,2024-03-26,ENQUIRY,"{""product"": ""HL""}"
1745,16,2024-04-25,MISC_CLEAR,{}
1745,17,2024-05-25,LIMIT_CHANGE,"{""product"": ""PL"", ""delta"": 0.14226389282161164}"
1745,18,2024-06-24,NEW_ACCOUNT,"{""product"": ""CC""}"
1745,20,2024-08-23,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.6819069800606703}"
1745,20,2024-08-23,ENQUIRY,"{""product"": ""PL""}"
1745,20,2024-08-23,SPEND,"{""product"": ""CC"", ""intensity"": ""high""}"
1745,20,2024-08-23,MISC_CLEAR,{}
1745,21,2024-09-22,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.5162369824326151}"
1745,21,2024-09-22,ENQUIRY,"{""product"": ""CC""}"
1745,21,2024-09-22,SPEND,"{""product"": ""CC"", ""intensity"": ""med""}"
2054,0,2023-01-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.876624391242677}"
2054,0,2023-01-01,ENQUIRY,"{""product"": ""PL""}"
2054,1,2023-01-31,NEW_ACCOUNT,"{""product"": ""PL""}"
2054,2,2023-03-02,PAYMENT,"{""status"": ""late"", ""paid_pct"": 0.6970121856972014}"
2054,3,2023-04-01,ENQUIRY,"{""product"": ""CC""}"
2054,3,2023-04-01,SPEND,"{""product"": ""CC"", ""intensity"": ""med""}"
2054,4,2023-05-01,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.6414254452902847}"
2054,4,2023-05-01,MISC_CLEAR,{}
2054,5,2023-05-31,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.7496347870536764}"
2054,5,2023-05-31,LIMIT_CHANGE,"{""product"": ""PL"", ""delta"": 0.22406675885921123}"
2054,6,2023-06-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.8405488314948684}"
2054,7,2023-07-30,PAYMENT,"{""status"": ""standard"", ""paid_pct"": 0.39767558035780437}"
2054,7,2023-07-30,ENQUIRY,"{""product"": ""CC""}"
2054,8,2023-08-29,PAYMENT,"{""status"": ""default"", ""paid_pct"": 0.0}"
2054,8,2023-08-29,LIMIT_CHANGE,"{""product"": ""PL"", ""delta"": 0.10985337376635602}"
2054,9,2023-09-28,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.6465150490993257}"
2054,9,2023-09-28,ENQUIRY,"{""product"": ""HL""}"
2054,10,2023-10-28,PAYMENT,"{""status"": ""substandard"", ""paid_pct"": 0.5195497950829293}"
2054,11,2023-11-27,ENQUIRY,"{""product"": ""CC""}"
2054,12,2023-12-27,LIMIT_CHANGE,"{""product"": ""CC"", ""delta"": 0.05350515296975486}"
